href,title,valor_monetario
/konyaspor/kader/verein/2293/saison_id/2013,Konyaspor,€ 27.85 mi.
/elazigspor/kader/verein/2292/saison_id/2013,Elazigspor,€ 23.00 mi.
/akhisar-belediyespor/kader/verein/19771/saison_id/2013,Akhisar Belediyespor,€ 19.23 mi.
/galatasaray/kader/verein/141/saison_id/2014,Galatasaray,€ 142.20 mi.
/besiktas-jk/kader/verein/114/saison_id/2014,Besiktas JK,€ 117.93 mi.
/fenerbahce/kader/verein/36/saison_id/2014,Fenerbahce,€ 105.33 mi.
/trabzonspor/kader/verein/449/saison_id/2014,Trabzonspor,€ 96.80 mi.
/bursaspor/kader/verein/20/saison_id/2014,Bursaspor,€ 80.70 mi.
/eskisehirspor/kader/verein/825/saison_id/2014,Eskisehirspor,€ 55.63 mi.
/kasimpasa/kader/verein/10484/saison_id/2014,Kasimpasa,€ 51.25 mi.
/basaksehir-fk/kader/verein/6890/saison_id/2014,Basaksehir FK,€ 47.20 mi.
/genclerbirligi-ankara/kader/verein/820/saison_id/2014,Genclerbirligi Ankara,€ 46.40 mi.
/caykur-rizespor/kader/verein/126/saison_id/2014,Caykur Rizespor,€ 37.15 mi.
/sivasspor/kader/verein/2381/saison_id/2014,Sivasspor,€ 35.90 mi.
/gaziantepspor/kader/verein/524/saison_id/2014,Gaziantepspor,€ 33.75 mi.
/kardemir-karabukspor/kader/verein/1506/saison_id/2014,Kardemir Karabükspor,€ 32.83 mi.
/konyaspor/kader/verein/2293/saison_id/2014,Konyaspor,€ 32.83 mi.
/akhisar-belediyespor/kader/verein/19771/saison_id/2014,Akhisar Belediyespor,€ 31.10 mi.
/kayseri-erciyesspor/kader/verein/6894/saison_id/2014,Kayseri Erciyesspor,€ 29.68 mi.
/mersin-idmanyurdu/kader/verein/3216/saison_id/2014,Mersin Idmanyurdu,€ 24.20 mi.
/balikesirspor/kader/verein/20698/saison_id/2014,Balikesirspor,€ 23.53 mi.
/fenerbahce/kader/verein/36/saison_id/2015,Fenerbahce,€ 168.80 mi.
/besiktas-jk/kader/verein/114/saison_id/2015,Besiktas JK,€ 127.95 mi.
/galatasaray/kader/verein/141/saison_id/2015,Galatasaray,€ 117.23 mi.
/trabzonspor/kader/verein/449/saison_id/2015,Trabzonspor,€ 107.30 mi.
/bursaspor/kader/verein/20/saison_id/2015,Bursaspor,€ 81.00 mi.
/kasimpasa/kader/verein/10484/saison_id/2015,Kasimpasa,€ 55.65 mi.
/basaksehir-fk/kader/verein/6890/saison_id/2015,Basaksehir FK,€ 54.10 mi.
/antalyaspor/kader/verein/589/saison_id/2015,Antalyaspor,€ 47.55 mi.
/osmanlispor-fk/kader/verein/2944/saison_id/2015,Osmanlispor FK,€ 44.60 mi.
/kayserispor/kader/verein/3205/saison_id/2015,Kayserispor,€ 39.35 mi.
