,href,title,valor_monetario,nome_time,id_time,temporada
245,/fc-liverpool/kader/verein/31/saison_id/2016,FC Liverpool,€ 425.65 mi.,fc-liverpool,31,16/17
246,/fc-everton/kader/verein/29/saison_id/2016,FC Everton,€ 311.25 mi.,fc-everton,29,16/17
247,/west-ham-united/kader/verein/379/saison_id/2016,West Ham United,€ 273.05 mi.,west-ham-united,379,16/17
248,/fc-southampton/kader/verein/180/saison_id/2016,FC Southampton,€ 263.75 mi.,fc-southampton,180,16/17
249,/crystal-palace-fc/kader/verein/873/saison_id/2016,Crystal Palace FC,€ 228.43 mi.,crystal-palace-fc,873,16/17
250,/leicester-city-fc/kader/verein/1003/saison_id/2016,Leicester City FC,€ 218.65 mi.,leicester-city-fc,1003,16/17
251,/stoke-city/kader/verein/512/saison_id/2016,Stoke City,€ 186.00 mi.,stoke-city,512,16/17
252,/fc-watford/kader/verein/1010/saison_id/2016,FC Watford,€ 175.65 mi.,fc-watford,1010,16/17
253,/swansea-city-afc/kader/verein/2288/saison_id/2016,Swansea City AFC,€ 157.10 mi.,swansea-city-afc,2288,16/17
254,/hull-city/kader/verein/3008/saison_id/2016,Hull City,€ 135.85 mi.,hull-city,3008,16/17
255,/afc-sunderland/kader/verein/289/saison_id/2016,AFC Sunderland,€ 132.00 mi.,afc-sunderland,289,16/17
256,/afc-bournemouth/kader/verein/989/saison_id/2016,AFC Bournemouth,€ 131.60 mi.,afc-bournemouth,989,16/17
257,/fc-middlesbrough/kader/verein/641/saison_id/2016,FC Middlesbrough,€ 128.80 mi.,fc-middlesbrough,641,16/17
258,/west-bromwich-albion/kader/verein/984/saison_id/2016,West Bromwich Albion,€ 123.20 mi.,west-bromwich-albion,984,16/17
259,/fc-burnley/kader/verein/1132/saison_id/2016,FC Burnley,€ 107.18 mi.,fc-burnley,1132,16/17
260,/manchester-city-fc/kader/verein/281/saison_id/2017,Manchester City FC,€ 1.01 bilhões,manchester-city-fc,281,17/18
261,/chelsea-fc/kader/verein/631/saison_id/2017,Chelsea FC,€ 884.25 mi.,chelsea-fc,631,17/18
262,/fc-liverpool/kader/verein/31/saison_id/2017,FC Liverpool,€ 857.50 mi.,fc-liverpool,31,17/18
263,/manchester-united-fc/kader/verein/985/saison_id/2017,Manchester United FC,€ 849.50 mi.,manchester-united-fc,985,17/18
264,/tottenham-hotspur/kader/verein/148/saison_id/2017,Tottenham Hotspur,€ 829.60 mi.,tottenham-hotspur,148,17/18
265,/fc-arsenal/kader/verein/11/saison_id/2017,FC Arsenal,€ 694.00 mi.,fc-arsenal,11,17/18
266,/fc-everton/kader/verein/29/saison_id/2017,FC Everton,€ 381.25 mi.,fc-everton,29,17/18
267,/leicester-city-fc/kader/verein/1003/saison_id/2017,Leicester City FC,€ 304.25 mi.,leicester-city-fc,1003,17/18
268,/fc-southampton/kader/verein/180/saison_id/2017,FC Southampton,€ 297.00 mi.,fc-southampton,180,17/18
269,/west-ham-united/kader/verein/379/saison_id/2017,West Ham United,€ 260.60 mi.,west-ham-united,379,17/18
270,/crystal-palace-fc/kader/verein/873/saison_id/2017,Crystal Palace FC,€ 220.73 mi.,crystal-palace-fc,873,17/18
271,/newcastle-united/kader/verein/762/saison_id/2017,Newcastle United,€ 208.28 mi.,newcastle-united,762,17/18
272,/fc-watford/kader/verein/1010/saison_id/2017,FC Watford,€ 196.00 mi.,fc-watford,1010,17/18
273,/stoke-city/kader/verein/512/saison_id/2017,Stoke City,€ 192.45 mi.,stoke-city,512,17/18
274,/fc-burnley/kader/verein/1132/saison_id/2017,FC Burnley,€ 169.30 mi.,fc-burnley,1132,17/18
275,/west-bromwich-albion/kader/verein/984/saison_id/2017,West Bromwich Albion,€ 165.95 mi.,west-bromwich-albion,984,17/18
276,/swansea-city-afc/kader/verein/2288/saison_id/2017,Swansea City AFC,€ 165.49 mi.,swansea-city-afc,2288,17/18
277,/brighton-amp-hove-albion/kader/verein/1237/saison_id/2017,Brighton & Hove Albion,€ 148.20 mi.,brighton-amp-hove-albion,1237,17/18
278,/afc-bournemouth/kader/verein/989/saison_id/2017,AFC Bournemouth,€ 144.50 mi.,afc-bournemouth,989,17/18
279,/huddersfield-town/kader/verein/1110/saison_id/2017,Huddersfield Town,€ 106.05 mi.,huddersfield-town,1110,17/18
280,/manchester-city-fc/kader/verein/281/saison_id/2018,Manchester City FC,€ 1.20 bilhões,manchester-city-fc,281,18/19
281,/fc-liverpool/kader/verein/31/saison_id/2018,FC Liverpool,€ 1.17 bilhões,fc-liverpool,31,18/19
282,/chelsea-fc/kader/verein/631/saison_id/2018,Chelsea FC,€ 1.17 bilhões,chelsea-fc,631,18/19
283,/tottenham-hotspur/kader/verein/148/saison_id/2018,Tottenham Hotspur,€ 898.60 mi.,tottenham-hotspur,148,18/19
284,/manchester-united-fc/kader/verein/985/saison_id/2018,Manchester United FC,€ 797.60 mi.,manchester-united-fc,985,18/19
285,/fc-arsenal/kader/verein/11/saison_id/2018,FC Arsenal,€ 659.05 mi.,fc-arsenal,11,18/19
286,/fc-everton/kader/verein/29/saison_id/2018,FC Everton,€ 529.10 mi.,fc-everton,29,18/19
287,/leicester-city-fc/kader/verein/1003/saison_id/2018,Leicester City FC,€ 434.10 mi.,leicester-city-fc,1003,18/19
288,/west-ham-united/kader/verein/379/saison_id/2018,West Ham United,€ 359.00 mi.,west-ham-united,379,18/19
289,/afc-bournemouth/kader/verein/989/saison_id/2018,AFC Bournemouth,€ 310.00 mi.,afc-bournemouth,989,18/19
290,/fc-southampton/kader/verein/180/saison_id/2018,FC Southampton,€ 305.40 mi.,fc-southampton,180,18/19
291,/wolverhampton-wanderers/kader/verein/543/saison_id/2018,Wolverhampton Wanderers,€ 302.90 mi.,wolverhampton-wanderers,543,18/19
292,/crystal-palace-fc/kader/verein/873/saison_id/2018,Crystal Palace FC,€ 289.00 mi.,crystal-palace-fc,873,18/19
293,/fc-fulham/kader/verein/931/saison_id/2018,FC Fulham,€ 254.25 mi.,fc-fulham,931,18/19
294,/newcastle-united/kader/verein/762/saison_id/2018,Newcastle United,€ 244.65 mi.,newcastle-united,762,18/19
295,/fc-watford/kader/verein/1010/saison_id/2018,FC Watford,€ 239.10 mi.,fc-watford,1010,18/19
296,/fc-burnley/kader/verein/1132/saison_id/2018,FC Burnley,€ 197.25 mi.,fc-burnley,1132,18/19
297,/brighton-amp-hove-albion/kader/verein/1237/saison_id/2018,Brighton & Hove Albion,€ 194.35 mi.,brighton-amp-hove-albion,1237,18/19
298,/huddersfield-town/kader/verein/1110/saison_id/2018,Huddersfield Town,€ 137.45 mi.,huddersfield-town,1110,18/19
299,/cardiff-city/kader/verein/603/saison_id/2018,Cardiff City,€ 113.00 mi.,cardiff-city,603,18/19
300,/manchester-city-fc/kader/verein/281/saison_id/2019,Manchester City FC,€ 1.05 bilhões,manchester-city-fc,281,19/20
301,/fc-liverpool/kader/verein/31/saison_id/2019,FC Liverpool,€ 1.00 bilhões,fc-liverpool,31,19/20
302,/tottenham-hotspur/kader/verein/148/saison_id/2019,Tottenham Hotspur,€ 806.80 mi.,tottenham-hotspur,148,19/20
303,/chelsea-fc/kader/verein/631/saison_id/2019,Chelsea FC,€ 705.85 mi.,chelsea-fc,631,19/20
304,/manchester-united-fc/kader/verein/985/saison_id/2019,Manchester United FC,€ 670.45 mi.,manchester-united-fc,985,19/20
305,/fc-arsenal/kader/verein/11/saison_id/2019,FC Arsenal,€ 607.65 mi.,fc-arsenal,11,19/20
306,/fc-everton/kader/verein/29/saison_id/2019,FC Everton,€ 420.55 mi.,fc-everton,29,19/20
307,/leicester-city-fc/kader/verein/1003/saison_id/2019,Leicester City FC,€ 411.10 mi.,leicester-city-fc,1003,19/20
308,/wolverhampton-wanderers/kader/verein/543/saison_id/2019,Wolverhampton Wanderers,€ 320.33 mi.,wolverhampton-wanderers,543,19/20
309,/west-ham-united/kader/verein/379/saison_id/2019,West Ham United,€ 303.60 mi.,west-ham-united,379,19/20
310,/afc-bournemouth/kader/verein/989/saison_id/2019,AFC Bournemouth,€ 272.18 mi.,afc-bournemouth,989,19/20
311,/newcastle-united/kader/verein/762/saison_id/2019,Newcastle United,€ 252.48 mi.,newcastle-united,762,19/20
